chr	group_id	NB_Genes	start	end	strand	ENS_ID	Name	Description
1	12	2	16345370	16360545	1	ENSG00000186510	CLCNKA	chloride channel, voltage-sensitive Ka [Source:HGNC Symbol;Acc:2026]
1	12	2	16370272	16383803	1	ENSG00000184908	CLCNKB	chloride channel, voltage-sensitive Kb [Source:HGNC Symbol;Acc:2027]
1	13	2	16999498	17000007	1	ENSG00000237847	FAM231A	family with sequence similarity 231, member A [Source:HGNC Symbol;Acc:49427]
1	13	2	17060447	17060956	-1	ENSG00000268991	FAM231C	family with sequence similarity 231, member C [Source:HGNC Symbol;Acc:49508]
1	14	4	17393256	17445948	-1	ENSG00000117115	PADI2	peptidyl arginine deiminase, type II [Source:HGNC Symbol;Acc:18341]
1	14	4	17531621	17572500	1	ENSG00000142623	PADI1	peptidyl arginine deiminase, type I [Source:HGNC Symbol;Acc:18367]
1	14	4	17575593	17610728	1	ENSG00000142619	PADI3	peptidyl arginine deiminase, type III [Source:HGNC Symbol;Acc:18337]
1	14	4	17634690	17690499	1	ENSG00000159339	PADI4	peptidyl arginine deiminase, type IV [Source:HGNC Symbol;Acc:18368]
1	15	2	19175767	19247615	-1	ENSG00000255275	RP13-279N23.2	
1	15	2	19230775	19283180	-1	ENSG00000169991	IFFO2	intermediate filament family orphan 2 [Source:HGNC Symbol;Acc:27006]
1	16	3	19592476	19600688	-1	ENSG00000211454	AKR7L	aldo-keto reductase family 7-like [Source:HGNC Symbol;Acc:24056]
1	16	3	19609052	19615744	-1	ENSG00000162482	AKR7A3	aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase) [Source:HGNC Symbol;Acc:390]
1	16	3	19630459	19638640	-1	ENSG00000053371	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase) [Source:HGNC Symbol;Acc:389]
1	17	2	19923473	19984549	1	ENSG00000270136	MINOS1-NBL1	MINOS1-NBL1 readthrough [Source:HGNC Symbol;Acc:48338]
1	17	2	19967048	19984945	1	ENSG00000158747	NBL1	neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:7650]
1	18	5	20246502	20250110	-1	ENSG00000188784	PLA2G2E	phospholipase A2, group IIE [Source:HGNC Symbol;Acc:13414]
1	18	5	20301925	20306932	-1	ENSG00000188257	PLA2G2A	phospholipase A2, group IIA (platelets, synovial fluid) [Source:HGNC Symbol;Acc:9031]
1	18	5	20354672	20417683	1	ENSG00000127472	PLA2G5	phospholipase A2, group V [Source:HGNC Symbol;Acc:9038]
1	18	5	20438432	20446050	-1	ENSG00000117215	PLA2G2D	phospholipase A2, group IID [Source:HGNC Symbol;Acc:9033]
1	18	5	20465819	20476879	1	ENSG00000158786	PLA2G2F	phospholipase A2, group IIF [Source:HGNC Symbol;Acc:30040]
1	19	2	22303514	22325135	1	ENSG00000219073	CELA3B	chymotrypsin-like elastase family, member 3B [Source:HGNC Symbol;Acc:15945]
1	19	2	22328149	22339032	1	ENSG00000142789	CELA3A	chymotrypsin-like elastase family, member 3A [Source:HGNC Symbol;Acc:15944]
1	20	2	22890057	22930087	1	ENSG00000070886	EPHA8	EPH receptor A8 [Source:HGNC Symbol;Acc:3391]
1	20	2	23037332	23241818	1	ENSG00000133216	EPHB2	EPH receptor B2 [Source:HGNC Symbol;Acc:3393]
1	21	3	22962999	22966101	1	ENSG00000173372	C1QA	complement component 1, q subcomponent, A chain [Source:HGNC Symbol;Acc:1241]
1	21	3	22970123	22974603	1	ENSG00000159189	C1QC	complement component 1, q subcomponent, C chain [Source:HGNC Symbol;Acc:1245]
1	21	3	22979255	22988031	1	ENSG00000173369	C1QB	complement component 1, q subcomponent, B chain [Source:HGNC Symbol;Acc:1242]
1	22	2	25598884	25656936	1	ENSG00000187010	RHD	Rh blood group, D antigen [Source:HGNC Symbol;Acc:10009]
1	22	2	25688740	25756683	-1	ENSG00000188672	RHCE	Rh blood group, CcEe antigens [Source:HGNC Symbol;Acc:10008]
1	23	3	32930658	33066393	1	ENSG00000254553	RP1-27O5.3	
1	23	3	32930670	32962287	1	ENSG00000273274	ZBTB8B	zinc finger and BTB domain containing 8B [Source:HGNC Symbol;Acc:37057]
1	23	3	33005028	33071540	1	ENSG00000160062	ZBTB8A	zinc finger and BTB domain containing 8A [Source:HGNC Symbol;Acc:24172]
1	24	4	35220648	35224113	1	ENSG00000189280	GJB5	gap junction protein, beta 5, 31.1kDa [Source:HGNC Symbol;Acc:4287]
1	24	4	35225342	35229325	1	ENSG00000189433	GJB4	gap junction protein, beta 4, 30.3kDa [Source:HGNC Symbol;Acc:4286]
1	24	4	35246790	35251970	1	ENSG00000188910	GJB3	gap junction protein, beta 3, 31kDa [Source:HGNC Symbol;Acc:4285]
1	24	4	35258599	35261348	1	ENSG00000187513	GJA4	gap junction protein, alpha 4, 37kDa [Source:HGNC Symbol;Acc:4278]
1	25	2	35447134	35497342	-1	ENSG00000271741	RP11-244H3.4	
1	25	2	35734568	35887659	1	ENSG00000146463	ZMYM4	zinc finger, MYM-type 4 [Source:HGNC Symbol;Acc:13055]
1	26	3	36273773	36323491	1	ENSG00000134698	AGO4	argonaute RISC catalytic component 4 [Source:HGNC Symbol;Acc:18424]
1	26	3	36335409	36395211	1	ENSG00000092847	AGO1	argonaute RISC catalytic component 1 [Source:HGNC Symbol;Acc:3262]
1	26	3	36396319	36538101	1	ENSG00000126070	AGO3	argonaute RISC catalytic component 3 [Source:HGNC Symbol;Acc:18421]
1	27	2	39957318	39991607	1	ENSG00000183682	BMP8A	bone morphogenetic protein 8a [Source:HGNC Symbol;Acc:21650]
1	27	2	40222854	40254533	-1	ENSG00000116985	BMP8B	bone morphogenetic protein 8b [Source:HGNC Symbol;Acc:1075]
1	28	2	40157854	40229586	1	ENSG00000084072	PPIE	peptidylprolyl isomerase E (cyclophilin E) [Source:HGNC Symbol;Acc:9258]
1	28	2	43124096	43142429	1	ENSG00000171960	PPIH	peptidylprolyl isomerase H (cyclophilin H) [Source:HGNC Symbol;Acc:14651]
1	29	3	40915774	40929390	1	ENSG00000187801	ZFP69B	ZFP69 zinc finger protein B [Source:HGNC Symbol;Acc:28053]
1	29	3	40942887	40962015	1	ENSG00000187815	ZFP69	ZFP69 zinc finger protein [Source:HGNC Symbol;Acc:24708]
1	29	3	40997233	41013841	1	ENSG00000117010	ZNF684	zinc finger protein 684 [Source:HGNC Symbol;Acc:28418]
1	30	4	47394849	47407156	-1	ENSG00000187048	CYP4A11	cytochrome P450, family 4, subfamily A, polypeptide 11 [Source:HGNC Symbol;Acc:2642]
1	30	4	47427036	47516423	1	ENSG00000186377	CYP4X1	cytochrome P450, family 4, subfamily X, polypeptide 1 [Source:HGNC Symbol;Acc:20244]
1	30	4	47533160	47583991	1	ENSG00000186160	CYP4Z1	cytochrome P450, family 4, subfamily Z, polypeptide 1 [Source:HGNC Symbol;Acc:20583]
1	30	4	47603107	47615413	1	ENSG00000162365	CYP4A22	cytochrome P450, family 4, subfamily A, polypeptide 22 [Source:HGNC Symbol;Acc:20575]
1	31	2	53192126	53293014	1	ENSG00000162378	ZYG11B	zyg-11 family member B, cell cycle regulator [Source:HGNC Symbol;Acc:25820]
1	31	2	53308183	53360670	1	ENSG00000203995	ZYG11A	zyg-11 family member A, cell cycle regulator [Source:HGNC Symbol;Acc:32058]
1	32	2	55107459	55207981	1	ENSG00000271723	MROH7-TTC4	MROH7-TTC4 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:49180]
1	32	2	55107463	55175939	1	ENSG00000184313	MROH7	maestro heat-like repeat family member 7 [Source:HGNC Symbol;Acc:24802]
1	33	2	57320479	57383894	1	ENSG00000157131	C8A	complement component 8, alpha polypeptide [Source:HGNC Symbol;Acc:1352]
1	33	2	57394883	57431813	-1	ENSG00000021852	C8B	complement component 8, beta polypeptide [Source:HGNC Symbol;Acc:1353]
1	34	2	74663919	75009666	1	ENSG00000259030	FPGT-TNNI3K	FPGT-TNNI3K readthrough [Source:HGNC Symbol;Acc:42952]
1	34	2	74663947	75010112	1	ENSG00000116783	TNNI3K	TNNI3 interacting kinase [Source:HGNC Symbol;Acc:19661]
1	35	2	76540404	77100286	1	ENSG00000184005	ST6GALNAC3	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 [Source:HGNC Symbol;Acc:19343]
1	35	2	77333126	77531396	1	ENSG00000117069	ST6GALNAC5	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 [Source:HGNC Symbol;Acc:19342]
1	36	2	79085607	79111830	1	ENSG00000137959	IFI44L	interferon-induced protein 44-like [Source:HGNC Symbol;Acc:17817]
1	36	2	79115481	79129763	1	ENSG00000137965	IFI44	interferon-induced protein 44 [Source:HGNC Symbol;Acc:16938]
1	37	2	85391268	85462796	-1	ENSG00000153898	MCOLN2	mucolipin 2 [Source:HGNC Symbol;Acc:13357]
1	37	2	85483765	85514182	-1	ENSG00000055732	MCOLN3	mucolipin 3 [Source:HGNC Symbol;Acc:13358]
1	38	3	86889769	86922241	1	ENSG00000137975	CLCA2	chloride channel accessory 2 [Source:HGNC Symbol;Acc:2016]
1	38	3	86934051	86965972	1	ENSG00000016490	CLCA1	chloride channel accessory 1 [Source:HGNC Symbol;Acc:2015]
1	38	3	87012761	87046437	1	ENSG00000016602	CLCA4	chloride channel accessory 4 [Source:HGNC Symbol;Acc:2018]
1	39	2	87380331	87602334	1	ENSG00000153936	HS2ST1	heparan sulfate 2-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5193]
1	39	2	87458692	87634884	1	ENSG00000267561	RP5-1052I5.2	Heparan sulfate 2-O-sulfotransferase 1  [Source:UniProtKB/TrEMBL;Acc:K7EP71]
1	40	6	89518002	89531043	-1	ENSG00000117228	GBP1	guanylate binding protein 1, interferon-inducible [Source:HGNC Symbol;Acc:4182]
1	40	6	89571815	89616139	-1	ENSG00000162645	GBP2	guanylate binding protein 2, interferon-inducible [Source:HGNC Symbol;Acc:4183]
1	40	6	89597434	89641723	-1	ENSG00000213512	GBP7	guanylate binding protein 7 [Source:HGNC Symbol;Acc:29606]
1	40	6	89646831	89664615	-1	ENSG00000162654	GBP4	guanylate binding protein 4 [Source:HGNC Symbol;Acc:20480]
1	40	6	89724633	89738544	-1	ENSG00000154451	GBP5	guanylate binding protein 5 [Source:HGNC Symbol;Acc:19895]
1	40	6	89829617	89852020	1	ENSG00000183347	GBP6	guanylate binding protein family, member 6 [Source:HGNC Symbol;Acc:25395]
1	41	2	89990395	90063423	1	ENSG00000197147	LRRC8B	leucine rich repeat containing 8 family, member B [Source:HGNC Symbol;Acc:30692]
1	41	2	90098631	90235462	1	ENSG00000171488	LRRC8C	leucine rich repeat containing 8 family, member C [Source:HGNC Symbol;Acc:25075]
1	42	2	95582894	95663163	1	ENSG00000152078	TMEM56	transmembrane protein 56 [Source:HGNC Symbol;Acc:26477]
1	42	2	95583479	95712781	1	ENSG00000271092	TMEM56-RWDD3	TMEM56-RWDD3 readthrough [Source:HGNC Symbol;Acc:49388]
1	43	5	104096437	104122156	1	ENSG00000240038	AMY2B	amylase, alpha 2B (pancreatic) [Source:HGNC Symbol;Acc:478]
1	43	5	104159999	104168402	1	ENSG00000243480	AMY2A	amylase, alpha 2A (pancreatic) [Source:HGNC Symbol;Acc:477]
1	43	5	104197912	104207173	1	ENSG00000237763	AMY1A	amylase, alpha 1A (salivary) [Source:HGNC Symbol;Acc:474]
1	43	5	104230037	104239302	-1	ENSG00000174876	AMY1B	amylase, alpha 1B (salivary) [Source:HGNC Symbol;Acc:475]
1	43	5	104293028	104301312	1	ENSG00000187733	AMY1C	amylase, alpha 1C (salivary) [Source:HGNC Symbol;Acc:476]
1	44	2	108765963	108786689	-1	ENSG00000196427	NBPF4	neuroblastoma breakpoint family, member 4 [Source:HGNC Symbol;Acc:26550]
1	44	2	108918421	109013624	1	ENSG00000186086	NBPF6	neuroblastoma breakpoint family, member 6 [Source:HGNC Symbol;Acc:31988]
1	45	2	110091233	110136975	1	ENSG00000065135	GNAI3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3 [Source:HGNC Symbol;Acc:4387]
1	45	2	110145889	110155679	-1	ENSG00000134183	GNAT2	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2 [Source:HGNC Symbol;Acc:4394]
1	46	5	110198703	110208118	1	ENSG00000168765	GSTM4	glutathione S-transferase mu 4 [Source:HGNC Symbol;Acc:4636]
1	46	5	110210644	110252171	1	ENSG00000213366	GSTM2	glutathione S-transferase mu 2 (muscle) [Source:HGNC Symbol;Acc:4634]
1	46	5	110230436	110251661	1	ENSG00000134184	GSTM1	glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:4632]
1	46	5	110254864	110318050	1	ENSG00000134201	GSTM5	glutathione S-transferase mu 5 [Source:HGNC Symbol;Acc:4637]
1	46	5	110276554	110284384	-1	ENSG00000134202	GSTM3	glutathione S-transferase mu 3 (brain) [Source:HGNC Symbol;Acc:4635]
1	47	3	111059839	111061797	-1	ENSG00000143105	KCNA10	potassium voltage-gated channel, shaker-related subfamily, member 10 [Source:HGNC Symbol;Acc:6219]
1	47	3	111136202	111174096	-1	ENSG00000177301	KCNA2	potassium voltage-gated channel, shaker-related subfamily, member 2 [Source:HGNC Symbol;Acc:6220]
1	47	3	111214310	111217655	-1	ENSG00000177272	KCNA3	potassium voltage-gated channel, shaker-related subfamily, member 3 [Source:HGNC Symbol;Acc:6221]
1	48	4	112084840	112259313	1	ENSG00000116473	RAP1A	RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:9855]
1	48	4	113243728	113250056	-1	ENSG00000155366	RHOC	ras homolog family member C [Source:HGNC Symbol;Acc:669]
1	48	4	113245236	113254055	-1	ENSG00000271810	RP11-426L16.10	Rho-related GTP-binding protein RhoC  [Source:UniProtKB/TrEMBL;Acc:Q5JR06]
1	48	4	113252616	113258099	-1	ENSG00000155367	PPM1J	protein phosphatase, Mg2+/Mn2+ dependent, 1J [Source:HGNC Symbol;Acc:20785]
1	49	2	117117031	117210375	-1	ENSG00000143061	IGSF3	immunoglobulin superfamily, member 3 [Source:HGNC Symbol;Acc:5950]
1	49	2	117544382	117579167	1	ENSG00000134256	CD101	CD101 molecule [Source:HGNC Symbol;Acc:5949]
1	50	2	119957554	119965658	1	ENSG00000203859	HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2 [Source:HGNC Symbol;Acc:5218]
1	50	2	120049821	120057681	1	ENSG00000203857	HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1 [Source:HGNC Symbol;Acc:5217]
1	51	2	145764411	145827103	-1	ENSG00000117262	GPR89A	G protein-coupled receptor 89A [Source:HGNC Symbol;Acc:31984]
1	51	2	147400506	147465753	1	ENSG00000188092	GPR89B	G protein-coupled receptor 89B [Source:HGNC Symbol;Acc:13840]
1	52	4	149400131	149400542	-1	ENSG00000203818	HIST2H3PS2	histone cluster 2, H3, pseudogene 2 [Source:HGNC Symbol;Acc:32060]
1	52	4	149784826	149785236	-1	ENSG00000183598	HIST2H3D	histone cluster 2, H3d [Source:HGNC Symbol;Acc:25311]
1	52	4	149811110	149812765	-1	ENSG00000203811	HIST2H3C	histone cluster 2, H3c [Source:HGNC Symbol;Acc:20503]
1	52	4	149824181	149825836	1	ENSG00000203852	HIST2H3A	histone cluster 2, H3a [Source:HGNC Symbol;Acc:20505]
1	53	2	149754245	149783928	-1	ENSG00000203814	HIST2H2BF	histone cluster 2, H2bf [Source:HGNC Symbol;Acc:24700]
1	53	2	149856010	149858232	-1	ENSG00000184678	HIST2H2BE	histone cluster 2, H2be [Source:HGNC Symbol;Acc:4760]
1	54	3	149822643	149823191	1	ENSG00000203812	HIST2H2AA4	histone cluster 2, H2aa4 [Source:HGNC Symbol;Acc:29668]
1	54	3	149858525	149858961	1	ENSG00000184260	HIST2H2AC	histone cluster 2, H2ac [Source:HGNC Symbol;Acc:4738]
1	54	3	149859019	149859466	-1	ENSG00000184270	HIST2H2AB	histone cluster 2, H2ab [Source:HGNC Symbol;Acc:20508]
1	55	2	150702672	150738433	-1	ENSG00000163131	CTSS	cathepsin S [Source:HGNC Symbol;Acc:2545]
1	55	2	150768684	150780799	-1	ENSG00000143387	CTSK	cathepsin K [Source:HGNC Symbol;Acc:2536]
1	56	2	151819739	151826173	-1	ENSG00000196407	THEM5	thioesterase superfamily member 5 [Source:HGNC Symbol;Acc:26755]
1	56	2	151846060	151882284	-1	ENSG00000159445	THEM4	thioesterase superfamily member 4 [Source:HGNC Symbol;Acc:17947]
1	57	2	152184558	152196669	-1	ENSG00000197915	HRNR	hornerin [Source:HGNC Symbol;Acc:20846]
1	57	2	152321211	152332482	-1	ENSG00000143520	FLG2	filaggrin family member 2 [Source:HGNC Symbol;Acc:33276]
1	59	17	152483320	152484653	1	ENSG00000186207	LCE5A	late cornified envelope 5A [Source:HGNC Symbol;Acc:16614]
1	59	17	152486978	152488486	1	ENSG00000169509	CRCT1	cysteine-rich C-terminal 1 [Source:HGNC Symbol;Acc:29875]
1	59	17	152538130	152539248	-1	ENSG00000185966	LCE3E	late cornified envelope 3E [Source:HGNC Symbol;Acc:29463]
1	59	17	152551857	152552980	-1	ENSG00000163202	LCE3D	late cornified envelope 3D [Source:HGNC Symbol;Acc:16615]
1	59	17	152573138	152573562	1	ENSG00000244057	LCE3C	late cornified envelope 3C [Source:HGNC Symbol;Acc:16612]
1	59	17	152586287	152586574	1	ENSG00000187238	LCE3B	late cornified envelope 3B [Source:HGNC Symbol;Acc:29462]
1	59	17	152595310	152595579	-1	ENSG00000185962	LCE3A	late cornified envelope 3A [Source:HGNC Symbol;Acc:29461]
1	59	17	152635872	152637135	1	ENSG00000187223	LCE2D	late cornified envelope 2D [Source:HGNC Symbol;Acc:16518]
1	59	17	152647771	152649050	1	ENSG00000187180	LCE2C	late cornified envelope 2C [Source:HGNC Symbol;Acc:29460]
1	59	17	152670840	152671918	1	ENSG00000187173	LCE2A	late cornified envelope 2A [Source:HGNC Symbol;Acc:29469]
1	59	17	152680636	152681967	1	ENSG00000187170	LCE4A	late cornified envelope 4A [Source:HGNC Symbol;Acc:16613]
1	59	17	152748848	152749445	1	ENSG00000240386	LCE1F	late cornified envelope 1F [Source:HGNC Symbol;Acc:29467]
1	59	17	152758690	152760902	1	ENSG00000186226	LCE1E	late cornified envelope 1E [Source:HGNC Symbol;Acc:29466]
1	59	17	152769227	152770657	1	ENSG00000172155	LCE1D	late cornified envelope 1D [Source:HGNC Symbol;Acc:29465]
1	59	17	152777311	152779107	-1	ENSG00000197084	LCE1C	late cornified envelope 1C [Source:HGNC Symbol;Acc:29464]
1	59	17	152784447	152785585	1	ENSG00000196734	LCE1B	late cornified envelope 1B [Source:HGNC Symbol;Acc:16611]
1	59	17	152799949	152800573	1	ENSG00000186844	LCE1A	late cornified envelope 1A [Source:HGNC Symbol;Acc:29459]
1	60	9	152943142	152945050	1	ENSG00000184148	SPRR4	small proline-rich protein 4 [Source:HGNC Symbol;Acc:23173]
1	60	9	152956557	152958289	1	ENSG00000169474	SPRR1A	small proline-rich protein 1A [Source:HGNC Symbol;Acc:11259]
1	60	9	153003678	153005376	1	ENSG00000169469	SPRR1B	small proline-rich protein 1B [Source:HGNC Symbol;Acc:11260]
1	60	9	153012201	153014407	-1	ENSG00000163216	SPRR2D	small proline-rich protein 2D [Source:HGNC Symbol;Acc:11264]
1	60	9	153028589	153030013	-1	ENSG00000241794	SPRR2A	small proline-rich protein 2A [Source:HGNC Symbol;Acc:11261]
1	60	9	153042700	153113927	-1	ENSG00000196805	SPRR2B	small proline-rich protein 2B [Source:HGNC Symbol;Acc:11262]
1	60	9	153065611	153078660	-1	ENSG00000203785	SPRR2E	small proline-rich protein 2E [Source:HGNC Symbol;Acc:11265]
1	60	9	153084590	153085991	-1	ENSG00000244094	SPRR2F	small proline-rich protein 2F [Source:HGNC Symbol;Acc:11266]
1	60	9	153122058	153123345	-1	ENSG00000159516	SPRR2G	small proline-rich protein 2G [Source:HGNC Symbol;Acc:11267]
1	61	2	153270338	153283194	-1	ENSG00000159527	PGLYRP3	peptidoglycan recognition protein 3 [Source:HGNC Symbol;Acc:30014]
1	61	2	153302596	153321316	-1	ENSG00000163218	PGLYRP4	peptidoglycan recognition protein 4 [Source:HGNC Symbol;Acc:30015]
1	63	3	153389000	153395701	1	ENSG00000184330	S100A7A	S100 calcium binding protein A7A [Source:HGNC Symbol;Acc:21657]
1	63	3	153409534	153412425	-1	ENSG00000197364	S100A7L2	S100 calcium binding protein A7-like 2 [Source:HGNC Symbol;Acc:21655]
1	63	3	153430220	153433177	-1	ENSG00000143556	S100A7	S100 calcium binding protein A7 [Source:HGNC Symbol;Acc:10497]
1	64	8	153330330	153333503	1	ENSG00000163220	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:10499]
1	64	8	153346184	153348125	-1	ENSG00000163221	S100A12	S100 calcium binding protein A12 [Source:HGNC Symbol;Acc:10489]
1	64	8	153362508	153363664	-1	ENSG00000143546	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:10498]
1	64	8	153507075	153508720	-1	ENSG00000197956	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:10496]
1	64	8	153509623	153514241	-1	ENSG00000196420	S100A5	S100 calcium binding protein A5 [Source:HGNC Symbol;Acc:10495]
1	64	8	153516089	153522612	-1	ENSG00000196154	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:10494]
1	64	8	153519805	153521848	-1	ENSG00000188015	S100A3	S100 calcium binding protein A3 [Source:HGNC Symbol;Acc:10493]
1	64	8	153533584	153540366	-1	ENSG00000196754	S100A2	S100 calcium binding protein A2 [Source:HGNC Symbol;Acc:10492]
1	65	3	155036207	155042029	1	ENSG00000243364	EFNA4	ephrin-A4 [Source:HGNC Symbol;Acc:3224]
1	65	3	155036224	155060014	1	ENSG00000143590	EFNA3	ephrin-A3 [Source:HGNC Symbol;Acc:3223]
1	65	3	155099936	155107333	1	ENSG00000169242	EFNA1	ephrin-A1 [Source:HGNC Symbol;Acc:3221]
